#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
157,Flying Wild Hog,Indie,9,0,$92.1m,$10.2m,Poland,0.11,0.33,1,0.11,0.89,0,0,0.11,0,0,0
158,Volition,Indie,9,0,$91.7m,$10.2m,United States,0,0,0.89,0,0.11,0,0.11,0.11,0,0,0
159,鬼谷工作室,Indie,1,0,$91.1m,$91.1m,China,1,1,1,0,1,1,0,1,0,0,0
160,Double Eleven,Indie,7,0,$91.1m,$13m,United Kingdom,0.71,0.29,0.57,0,0.14,0.14,0.43,0.14,0,0,0
161,Digital Extremes,Indie,7,0,$90.9m,$13m,Canada,0.14,0,1,0,0.14,0,0,0.29,0,0,0
162,Climax Studios,Indie,13,0,$90.1m,$6.9m,United Kingdom,0,0.08,0.77,0,0.62,0.08,0.08,0.15,0,0.08,0.23
163,Electronic Arts,AAA,3,0,$89m,$29.7m,United States,1,0,0.33,0,0,0.67,0.33,0,0,0,0.67
164,Ubisoft Belgrade,AAA,2,0,$88.7m,$44.3m,N/A,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5
165,"Spike Chunsoft Co., Ltd.",Indie,21,0,$88.3m,$4.2m,Japan,0.86,0,0.19,0,0.52,0.05,0,0.24,0,0,0.05
166,Paradox Tinto,Indie,1,0,$87.8m,$87.8m,N/A,0,0,0,0,0,1,1,0,0,0,0
167,Feral Interactive (Mac/Linux),AA,3,0,$87.2m,$29.1m,United Kingdom,1,0,0,0,0,0,1,0,0,0,0
168,Eidos Montreal,AA,4,0,$86.4m,$21.6m,N/A,0,0,1,0,0,0,0,1,0,0,0
169,BlueTwelve Studio,Indie,1,0,$86.4m,$86.4m,France,0,1,0,0,1,0,0,0,0,0,0
170,Kunos Simulazioni,Indie,2,0,$86.3m,$43.2m,Italy,0.5,0.5,0,0,0,1,0,0,0,1,1
171,Team17 Digital Ltd,AA,18,0,$86.3m,$4.8m,United Kingdom,0.94,0.33,0.28,0.11,0.06,0,0.67,0.06,0,0,0.06
172,Hangar 13,AA,3,0,$86.3m,$28.8m,United States,0,0,1,0,1,0,0,0,0,0,0
173,Reflections,Indie,2,0,$85.9m,$43m,N/A,0,0,1,0,1,0,0,0,0,0,0
174,Ubisoft Milan,AAA,2,0,$85.9m,$43m,N/A,0,0,1,0,1,0,0,0,0,0,0
175,Stunlock Studios,Indie,5,0,$85.8m,$17.2m,Sweden,0.8,0,1,0,0.2,0,0,0,0.6,0,0
176,Ryu Ga Gotoku Studio,Indie,12,2,$85.4m,$7.1m,N/A,0,0,1,0,0.93,0,0,0.29,0,0,0
177,Ludeon Studios,AA,1,0,$83.7m,$83.7m,Canada,1,1,0,0,0,1,1,0,0,0,0
178,Quantic Dream,Indie,4,0,$83.5m,$20.9m,France,0.75,0,0.75,0,0.75,0,0,0.25,0,0,0
179,Deep Silver Volition,Indie,5,0,$83.1m,$16.6m,N/A,0,0,1,0,0.6,0,0,0,0,0,0
180,DIMPS,Indie,4,0,$82.6m,$20.7m,Japan,0,0,1,0.25,0.25,0,0,0.25,0.25,0,0
181,BeamNG,AA,1,0,$81.7m,$81.7m,Germany,1,0,0,0,0,1,0,0,0,1,0
182,Santa Monica Studio,Indie,1,0,$81.6m,$81.6m,United States,0,0,1,0,1,0,0,1,0,0,0
183,Tango Gameworks,Indie,5,0,$80.4m,$16.1m,Japan,0,0,0.8,0.2,0.4,0,0,0,0,0,0
184,Hinterland Studio Inc.,Indie,1,0,$80.3m,$80.3m,Canada,1,1,0,0,1,1,1,0,0,0,0
185,Runic Games,Indie,3,0,$79.3m,$26.4m,United States,1,0.67,0.67,0,0.67,0,0,0.67,0,0,0
186,24 Entertainment,Indie,2,0,$79.2m,$39.6m,China,1,0,1,0,1,0,0,0,0.5,0,0
187,Arrowhead Game Studios,Indie,4,0,$78.9m,$19.7m,Sweden,0,0,1,0,0.25,0,0,0.5,0,0,0
188,Rockstar Toronto,AAA,1,0,$78.7m,$78.7m,N/A,0,0,1,0,1,0,0,0,0,0,0
189,Funcom,AA,10,2,$78.6m,$7.9m,Norway,1,0,0.83,0,0.92,0.17,0.25,0.83,0.67,0,0
190,"Jackbox Games, Inc.",Indie,23,0,$78.1m,$3.4m,United States,1,1,0,1,0,0,1,0,0,0,0
191,Berserk Games,Indie,1,0,$77.4m,$77.4m,United States,1,1,0,1,0,1,1,1,0,0,0
192,Shiro Games,AA,7,0,$76.8m,$11m,France,1,0.86,0.43,0.14,0.57,0.14,0.43,0.57,0,0,0
